,iso3,year,C_i_sys,Strategic_Environment_Index,Clarity_Index_Modified,Strategic_Environment_Index_Modified
0,ALB,1995,0.19208828984188384,0.07616007372248926,0.680648552991029,0.1965093303604039
1,ALB,1996,0.1934274570169283,0.07405839945518188,0.6757741347471629,0.19351922988482445
2,ALB,1997,0.20308354475753584,0.07581348287548297,0.6954335592672124,0.2045327399338419
3,ALB,1998,0.19720603590026753,0.07348799168927943,0.8269862802382002,0.14706760759025686
4,ALB,1999,0.36473887967116814,0.0711219764850883,0.8418245463149239,0.14860971973486622
5,ALB,2000,0.18575684379898483,0.06847226541646578,0.790185672701472,0.14194123251475305
6,ALB,2001,0.19191469205125516,0.06716466099805574,0.7846320399782116,0.1408441440894272
7,ALB,2002,0.18556060274998243,0.06650162440166488,0.768014767566582,0.1436260507575952
8,ALB,2003,0.2123143552932423,0.06573853479842494,0.7683235383149707,0.14230950434569034
9,ALB,2004,0.21196034801763147,0.06486199250649995,0.7607870842599184,0.14164334988858615
10,ALB,2005,0.18517018211506497,0.06322850023947307,0.7249148483767189,0.14362183263674613
11,ALB,2006,0.17847456091680508,0.06184281046378778,0.7143561386071263,0.14086868391078797
12,ALB,2007,0.1863087779191557,0.06102451855145689,0.7087398601629881,0.13990209362775413
13,ALB,2008,0.329666875463357,0.05913359658800943,0.7530841991806547,0.13462437599348046
14,ALB,2009,0.1802169718951695,0.05580366832593136,0.6893879866991144,0.1284853924852114
15,ALB,2010,0.17860634387574328,0.05479210083376707,0.6799918539987115,0.12745992338000312
16,ALB,2011,0.17803274007751124,0.054285314384841805,0.6708540575655967,0.1277425720955103
17,ALB,2012,0.20314638383853995,0.052277094035538214,0.6721499404647521,0.12502942957799035
18,ARG,1995,0.19273917780869046,0.003636391467397399,0.7321503004383998,0.007925481427246889
19,ARG,1996,0.1897460531849966,0.0037253771464211805,0.7216516155469445,0.008181687279258087
20,ARG,1997,0.19056036791588,0.0038662134233774666,0.7128543126886144,0.008525131576416333
21,ARG,1998,0.18963691504291413,0.003891409682223834,0.7032934263122652,0.008626114936908038
22,ARG,1999,0.1970959410398589,0.003771328163164567,0.7486696624849366,0.008641531433818324
23,ARG,2000,0.19445532107064614,0.003727634286394285,0.7392070464696122,0.008825395447058732
24,ARG,2001,0.37974770089716614,0.0036438208520794824,0.7995911927814319,0.008772684623520849
25,ARG,2002,0.19615994347883928,0.0036884664418933076,0.7362202989742038,0.009067232711769213
26,ARG,2003,0.19919667596832583,0.003609596566260147,0.7331799854303226,0.008929190120056073
27,ARG,2004,0.19586327199202117,0.0036362097425275356,0.7231588454237825,0.008974653791717784
28,ARG,2005,0.19237708959990993,0.0036585822009479723,0.7118428395042322,0.00915906494360742
29,ARG,2006,0.18970233867130346,0.0036340923850658436,0.7016003179674527,0.009171092498592093
30,ARG,2007,0.18689278190603387,0.0036598883369101287,0.7116923075708608,0.009229864652481068
31,ARG,2008,0.19399977921050476,0.0037116031377059516,0.7049733537330909,0.00936115288763919
32,ARG,2009,0.1918713681788206,0.003543379402117228,0.6947854673384979,0.00897331310442604
33,ARG,2010,0.19628719330967373,0.003538237979756608,0.686951148097248,0.009058556043987588
34,ARG,2011,0.1926106568843594,0.0035862935499250143,0.6758282094278903,0.00929241199339206
35,ARG,2012,0.18811283790699523,0.0035673334187130185,0.6641312383221132,0.00927186251978184
36,ARM,1995,0.1748941183104951,0.04501652831096111,0.6770122947333783,0.09152358885886917
37,ARM,1996,0.17386579911760422,0.04518674428224388,0.686218191546827,0.0896894289967406
38,ARM,1997,0.17994156380924295,0.04513177487378201,0.6834197519006042,0.08909140071006903
39,ARM,1998,0.1760151522023576,0.044857990171205155,0.7058209222952966,0.09408849380741999
40,ARM,1999,0.26423293948266724,0.04494006862563054,0.733302777998899,0.09135873095375016
41,ARM,2000,0.17811486353867909,0.04871390944030621,0.6905365701951627,0.10119871044663467
42,ARM,2001,0.17980892857836508,0.04439669329159671,0.686631153331894,0.09187165204534611
43,ARM,2002,0.1793221083468264,0.04391509487053767,0.6819256774398388,0.09033027819065359
44,ARM,2003,0.26826966214568737,0.04394101239253138,0.7123935206393988,0.0909459415166603
45,ARM,2004,0.2669788131611752,0.042974291619012166,0.7078967409418206,0.08908665712484783
46,ARM,2005,0.1831127249578968,0.041909937902032596,0.6832295938844086,0.08373570070832177
47,ARM,2006,0.1845434317319893,0.047308438738753004,0.6796077112306093,0.09392561553301686
48,ARM,2007,0.18307913404501874,0.042615875457258846,0.6748745904597211,0.08468389431537407
49,ARM,2008,0.2671366973099906,0.04375951849297871,0.7405820945240889,0.09197432104983329
50,ARM,2009,0.18277341354493554,0.04260358176856154,0.706305657722682,0.08759023140226087
51,ARM,2010,0.17785037512045926,0.04285515459464706,0.700122737178829,0.08591297937439193
52,ARM,2011,0.17666856670421946,0.04248056730838744,0.6945139454263767,0.08560760834521133
53,ARM,2012,0.25678129305018443,0.04296505043950962,0.7195647746031432,0.08900783388746901
54,AUS,1995,0.21103145060116305,0.00013981763145844156,0.6475930228527365,0.0004386528575189751
55,AUS,1996,0.21867616806922127,0.00014552740107917216,0.6742738283707244,0.00045799117245094717
56,AUS,1997,0.2205766836441485,0.00014864689074861666,0.669263744046408,0.0004684303127610815
57,AUS,1998,0.2139147842873321,0.00014140943995978372,0.6605848851239365,0.00044494574233830127
58,AUS,1999,0.20585342327391812,0.0001737042590975939,0.6506794634556221,0.0005469756087698695
59,AUS,2000,0.2029781186547605,0.00015301547844327957,0.642949306912151,0.0004813250270771571
60,AUS,2001,0.19947716062528495,0.00016800983666301559,0.6348696264739516,0.0005314550783723868
61,AUS,2002,0.19155265022131074,0.00015554140580511153,0.6246616726225424,0.0004915445909720651
62,AUS,2003,0.19046001245921276,0.0001553619951765084,0.6175342985473292,0.000491224384545087
63,AUS,2004,0.19372802435100994,0.0001569489943177465,0.6124672499028025,0.0004969739976715082
64,AUS,2005,0.19462272744652226,0.0001540706338292196,0.6062759826600286,0.0004896336722733718
65,AUS,2006,0.19235995386486587,0.00015756580290168343,0.5990954716668924,0.0005018187724709548
66,AUS,2007,0.19453832099935253,0.00015621109054556636,0.6607560655663038,0.0004976290117751426
67,AUS,2008,0.26613195778367016,0.0001568003784241142,0.6853903693687875,0.0005036912260680705
68,AUS,2009,0.19588264325256136,0.00015914119869674196,0.6492266331807978,0.0005127292435841792
69,AUS,2010,0.18898226497345774,0.00015846561038186934,0.659015108322938,0.0005107393981663517
70,AUS,2011,0.19077783154032538,0.00016069979240913032,0.6536945026059816,0.0005173428856007344
71,AUS,2012,0.19979602458870288,0.0001607613824374667,0.651545998113754,0.0005163163211603873
72,AZE,1995,0.16969153127546435,0.04053067651397031,0.6977312909922379,0.06656066791944806
73,AZE,1996,0.16863440758788661,0.04085123166842544,0.6775299030508897,0.06880869717489213
74,AZE,1997,0.17548753694051275,0.040814836593319484,0.6747675541910855,0.0683173269137802
75,AZE,1998,0.1691638653492866,0.04054732403914213,0.6668110409694273,0.06767688592055243
76,AZE,1999,0.2524130327838135,0.04404083355266368,0.6946270555409709,0.07380946694862717
77,AZE,2000,0.16187283247875983,0.04090148549077075,0.6513759258031415,0.06901559998563439
78,AZE,2001,0.16682343465306684,0.04542882499721975,0.6471812144788562,0.0768112101562392
79,AZE,2002,0.16440737431967584,0.047017042533374465,0.6398624278200052,0.07965011738289592
80,AZE,2003,0.2453468736666899,0.04508805888182957,0.7191853848131186,0.07644808962974593
81,AZE,2004,0.2380147226127085,0.039630971956894356,0.7107804760719448,0.0673279632187484
82,AZE,2005,0.16968597191975188,0.03622169740056551,0.6739067458320518,0.0623443257777787
83,AZE,2006,0.17048819498735585,0.037001621442355546,0.6679139008027248,0.06363207177910786
84,AZE,2007,0.17445190544797506,0.0369279893140697,0.6692438432406567,0.06276993491837841
85,AZE,2008,0.27306410155915933,0.038067268857944425,0.6978617089937588,0.06555627834180557
86,AZE,2009,0.17388865217579638,0.03729423442562687,0.6502891196233328,0.0643065879381205
87,AZE,2010,0.16981689935466518,0.037542953904663244,0.6421586711929604,0.06513143590122972
88,AZE,2011,0.1645676179305844,0.04194638713633059,0.6341800898581117,0.07280858040051039
89,AZE,2012,0.22700898010828566,0.037895025641042863,0.6562332525364475,0.0656304408697244
90,BLR,1995,0.16904128081625253,0.07375520763493315,0.6621244984357719,0.16902751485439915
91,BLR,1996,0.16930659677908141,0.07205714604783889,0.6577405656536346,0.13464707039873228
92,BLR,1997,0.1757589664152547,0.070098077167618,0.6530965319435911,0.1184028285329395
93,BLR,1998,0.17044695105467067,0.06875916632482808,0.6449432178496018,0.11565987519289166
94,BLR,1999,0.32637720920716184,0.06658617065990485,0.7065280326656279,0.11236222514521449
95,BLR,2000,0.17523379330956268,0.0651221601148639,0.6343550621653596,0.11005970442280706
96,BLR,2001,0.17953954393060242,0.06519190431529664,0.6299574988429861,0.11066790703762036
97,BLR,2002,0.1797580356962247,0.0625720492071744,0.6237373273893958,0.1069731489419378
98,BLR,2003,0.19345592569494816,0.062144254460034055,0.6237939281941833,0.10397507278616751
99,BLR,2004,0.18917084145321075,0.06072498580564426,0.6155213893578865,0.10140263705299604
100,BLR,2005,0.17074454734220246,0.057676776936066695,0.6066371236874821,0.0948770630904232
101,BLR,2006,0.17421445969111576,0.0568407441706462,0.6019588713619308,0.09527603198826795
102,BLR,2007,0.176079607614503,0.05603556152298781,0.5965339380421071,0.09197185610993802
103,BLR,2008,0.33213987139389983,0.054554532800488886,0.6678176877434991,0.08912874988989107
104,BLR,2009,0.17143383576687393,0.051009246415203,0.5814974121811346,0.08572755845744831
105,BLR,2010,0.16871794056132375,0.05047726117802491,0.5737027355642359,0.08612530790695708
106,BLR,2011,0.1669386717972299,0.04988501608194294,0.5668568245143604,0.08566141268771363
107,BLR,2012,0.18058021562331786,0.04860598844384091,0.5681133231391675,0.08327545870193923
108,BRA,1995,0.20758082058695232,0.0014140466652793739,0.7865115928625954,0.0032132515733671353
109,BRA,1996,0.20435699044650935,0.001443818248347916,0.7775972733419048,0.0033197519871416693
110,BRA,1997,0.23190969630211364,0.0014669672637898231,0.7773889356213839,0.0034146708420084684
111,BRA,1998,0.20799603703233704,0.001495726282573173,0.7621545599111677,0.0034539204941651754
